Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop
Vietnam,237,4,,,85,152,3,2,
Cuba,233,,6,,13,214,7,21,0.5
Honduras,222,3,15,1,3,204,10,22,2
Uzbekistan,221,16,2,,25,194,8,7,0.06
Channel Islands,210,17,4,1,13,193,,1208,23
Senegal,207,12,1,,66,140,1,12,0.06
Ghana,204,,5,,31,168,2,7,0.2
Malta,202,6,,,2,200,2,457,
Ivory Coast,194,,1,,15,178,,7,0.04
Nigeria,190,6,2,,20,168,,0.9,0.01
Faeroe Islands,179,2,,,91,88,1,3663,
Palestine,171,10,1,,18,152,,34,0.2
Mauritius,169,,7,,,162,1,133,6
Montenegro,160,16,2,,,158,4,255,3
Sri Lanka,152,1,4,,24,124,5,7,0.2
Georgia,148,14,,,27,121,6,37,
Venezuela,146,,5,,43,98,6,5,0.2
Martinique,138,,3,,27,108,19,368,8
DRC,134,,13,,3,118,,1,0.1
Brunei,134,1,1,,65,68,3,306,2
Bolivia,132,9,9,1,1,122,3,11,0.8
Kyrgyzstan,130,14,1,1,5,124,5,20,0.2
Guadeloupe,128,,6,,24,98,14,320,15
Kenya,122,12,4,1,4,114,2,2,0.07
Mayotte,116,,1,,10,105,3,425,4
Isle of Man,114,19,1,,,113,,1341,12
Cambodia,114,4,,,35,79,1,7,
Niger,98,,5,,,93,,4,0.2
Trinidad and Tobago,97,3,6,1,1,90,,69,4
Paraguay,92,15,3,,4,85,4,13,0.4
Gibraltar,88,,,,46,42,,2612,
Rwanda,84,,,,,84,,6,
Liechtenstein,75,,,,,75,,1967,
Bangladesh,61,5,6,,26,29,1,0.4,0.04
Monaco,60,,1,,2,57,2,1529,25
Aruba,60,,,,1,59,,562,
Madagascar,59,,,,,59,6,2,
Guinea,52,,,,,52,,4,
French Guiana,51,,,,15,36,,171,
Djibouti,49,9,,,8,41,,50,
Jamaica,47,,3,,2,42,,16,1
Guatemala,47,,1,,12,34,1,3,0.06
El Salvador,46,5,2,,,44,4,7,0.3
Barbados,46,,,,,46,,160,
Uganda,45,,,,,45,,1.0,
Macao,42,1,,,10,32,,65,
Togo,40,1,3,1,17,20,,5,0.4
Zambia,39,,1,,2,36,,2,0.05
French Polynesia,37,,,,,37,1,132,
Mali,36,,3,,,33,,2,0.1
Bermuda,35,,,,11,24,,562,
Ethiopia,35,6,,,3,32,2,0.3,
Cayman Islands,28,,1,,,27,,426,15
Bahamas,24,,1,,1,22,1,61,3
Sint Maarten,23,5,2,1,6,15,,536,47
Congo,22,,2,,2,18,,4,0.4
Saint Martin,22,,1,,2,19,,569,26
Eritrea,22,,,,,22,,6,
Gabon,21,,1,,1,19,,9,0.4
Myanmar,20,,1,,,19,,0.4,0.02
Tanzania,20,,1,,3,16,,0.3,0.02
Guyana,19,,4,,,15,,24,5
Maldives,19,,,,13,6,,35,
Haiti,18,2,,,1,17,,2,
New Caledonia,18,,,,1,17,,63,
Syria,16,,2,,,14,,0.9,0.1
Equatorial Guinea,15,,,,1,14,,11,
Mongolia,14,,,,2,12,,4,
Namibia,14,,,,3,11,,6,
Benin,13,,,,1,12,,1,
Saint Lucia,13,,,,1,12,,71,
Dominica,12,,,,,12,,167,
Curaao,11,,1,,3,7,,67,6
Libya,11,,1,,,10,,2,0.1
Greenland,10,,,,3,7,,176,
Grenada,10,,,,,10,,89,
Laos,10,,,,,10,,1,
Mozambique,10,,,,,10,,0.3,
Seychelles,10,,,,,10,,102,
Suriname,10,,,,,10,,17,
MS Zaandam,9,,2,,,7,,,
Zimbabwe,9,,1,,,8,,0.6,0.07
Antigua and Barbuda,9,,,,,9,,92,
Guinea-Bissau,9,,,,,9,,5,
Saint Kitts and Nevis,9,,,,,9,,169,
Eswatini,9,,,,,9,,8,
Angola,8,,2,,1,5,,0.2,0.06
Sudan,8,,2,,2,4,,0.2,0.05
CAR,8,5,,,,8,,2,
Chad,8,,,,,8,,0.5,
Fiji,7,,,,,7,,8,
Vatican City,7,,,,,7,,8739,
Cabo Verde,6,,1,,,5,,11,2
Mauritania,6,,1,,2,3,,1,0.2
Nepal,6,,,,1,5,,0.2,
Liberia,6,,,,,6,,1,
St. Barth,6,,,,1,5,,607,
Nicaragua,5,,1,,,4,,0.8,0.2
Bhutan,5,,,,2,3,,6,
Montserrat,5,,,,,5,,1002,
Somalia,5,,,,1,4,,0.3,
Turks and Caicos,5,,,,,5,,129,
Botswana,4,,1,,,3,,2,0.4
Gambia,4,,1,,2,1,,2,0.4
Anguilla,3,,,,,3,,200,
Belize,3,,,,,3,,8,
British Virgin Islands,3,,,,,3,,99,
Burundi,3,,,,,3,,0.3,
Malawi,3,,,,,3,,0.2,
St. Vincent Grenadines,3,1,,,1,2,,27,
Caribbean Netherlands,2,,,,,2,,76,
Sierra Leone,2,,,,,2,,0.3,
Papua New Guinea,1,,,,,1,,0.1,
Timor-Leste,1,,,,,1,,0.8,
China,81620,31,3322,4,76571,1727,379,57,2
