Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Continent
North America,1036549,1535,58703,104,144325,833521,16361,,,,,North America
Europe,1264350,11853,120528,410,409268,734554,25364,,,,,Europe
Asia,467842,7178,17062,111,223406,227374,6048,,,,,Asia
South America,131375,226,6021,17,47924,77430,9690,,,,,South America
Oceania,8282,25,101,3,6749,1432,45,,,,,Australia/Oceania
Africa,31850,748,1391,12,9765,20694,139,,,,,Africa
,721,,15,,645,61,4,,,,,
World,2940969,21565,203821,657,842082,1895066,57651,377,26.1,,,All
USA,960896,245,54265,9,118162,788469,15110,2903,164,5279237,15949,North America
Spain,223759,,22902,,95708,105149,7705,4786,490,930230,19896,Europe
Italy,195351,,26384,,63120,105847,2102,3231,436,1707743,28245,Europe
France,161488,,22614,,44594,94280,4725,2474,346,463662,7103,Europe
Germany,156727,214,5880,3,109800,41047,2570,1871,70,2072669,24738,Europe
UK,148377,,20319,,N/A,127714,1559,2186,299,640792,9439,Europe
Turkey,107773,,2706,,25582,79485,1782,1278,32,868565,10298,Asia
Iran,90481,1153,5710,60,69657,15114,3079,1077,68,421313,5016,Asia
Russia,80949,6361,747,66,6767,73435,2300,555,5,2877699,19719,Europe
Brazil,59324,128,4057,12,29160,26107,8318,279,19,291922,1373,South America
Belgium,46134,809,7094,177,10785,28255,891,3981,612,189067,16313,Europe
Canada,45354,,2465,,16425,26464,557,1202,65,684271,18130,North America
Netherlands,37845,655,4475,66,N/A,33120,959,2209,261,193950,11319,Europe
Switzerland,29061,167,1607,8,21300,6154,204,3358,186,245300,28343,Europe
India,26917,634,826,1,5939,20152,,20,0.6,625309,453,Asia
Peru,25331,,700,,7797,16834,545,768,21,218195,6618,South America
Portugal,23864,472,903,23,1329,21632,182,2340,89,330512,32414,Europe
Ecuador,22719,,576,,1366,20777,127,1288,33,56513,3203,South America
Sweden,18640,463,2194,2,1005,15441,399,1846,217,94500,9357,Europe
Ireland,18561,,1063,,9233,8265,142,3759,215,127319,25785,Europe
Saudi Arabia,17522,1223,139,3,2357,15026,115,503,4,200000,5745,Asia
Israel,15398,100,199,,6602,8597,132,1779,23,302691,34971,Asia
Austria,15225,77,542,6,12282,2401,145,1690,60,227631,25274,Europe
Mexico,13842,970,1305,84,7149,5388,378,107,10,65500,508,North America
Singapore,13624,931,12,,1002,12610,24,2329,2,121774,20815,Asia
Japan,13231,,360,,1656,11215,287,105,3,147454,1166,Asia
Chile,12858,,181,,6746,5931,418,673,9,149212,7806,South America
Pakistan,12723,,269,,2866,9588,111,58,1,144365,654,Asia
Poland,11395,122,526,2,2265,8604,160,301,14,290633,7679,Europe
Romania,11036,401,608,7,3054,7374,236,574,32,136518,7096,Europe
S. Korea,10728,10,242,2,8717,1769,55,209,5,598285,11669,Asia
Belarus,10463,873,72,5,1695,8696,92,1107,8,147525,15612,Europe
UAE,10349,536,76,5,1978,8295,1,1046,8,1022326,103365,Asia
Qatar,10287,929,10,,1012,9265,72,3571,3,82289,28562,Asia
Indonesia,8882,275,743,23,1107,7032,,32,3,72099,264,Asia
Ukraine,8617,492,209,8,840,7568,107,197,5,89373,2044,Europe
Denmark,8575,130,422,4,5805,2348,70,1480,73,146915,25364,Europe
Serbia,8042,263,156,5,1182,6704,85,920,18,64303,7360,Europe
Philippines,7579,285,501,7,862,6216,1,69,5,84789,774,Asia
Norway,7499,6,201,,32,7266,50,1383,37,155125,28614,Europe
Czechia,7352,,219,1,2471,4662,79,687,20,215116,20087,Europe
Australia,6711,16,83,3,5539,1089,42,263,3,506449,19861,Australia/Oceania
Dominican Republic,5926,,273,,822,4831,136,546,25,21284,1962,North America
Malaysia,5780,38,98,,3862,1820,36,179,3,131491,4063,Asia
Panama,5538,200,159,5,338,5041,85,1283,37,25400,5887,North America
Bangladesh,5416,418,145,5,122,5149,1,33,0.9,46589,283,Asia
Colombia,5142,,233,,1067,3842,117,101,5,78078,1534,South America
