#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,2418061,31588,142762,1415,1026891,26752,1248408,19239,,,,,,North America,,,
,South America,1345289,32307,57502,1129,684561,6292,603226,11987,,,,,,South America,,,
,Europe,2173542,16205,182067,609,1147833,13343,843642,6708,,,,,,Europe,,,
,Asia,1538625,39289,38735,835,934910,22336,564980,15369,,,,,,Asia,,,
,Africa,226816,7462,6047,178,104547,3836,116222,526,,,,,,Africa,,,
,Oceania,8901,5,124,,8371,22,406,2,,,,,,Australia/Oceania,,,
,,721,,15,,651,,55,4,,,,,,,,,
,World,7711955,126856,427252,4166,3907764,72581,3376939,53835,989,54.8,,,,All,,,
1,USA,2114555,24854,116769,735,837440,21354,1160346,16613,6390,353,23604955,71335,330901704,North America,156,2834,14
2,Brazil,828810,23161,41828,770,396692,,390290,8318,3901,197,1364423,6421,212479860,South America,256,5080,156
3,Russia,511423,8987,6715,183,269370,8220,235338,2300,3505,46,14218674,97434,145931382,Europe,285,21732,10
4,India,309603,11320,8890,389,154231,7259,146482,8944,224,6,5363445,3889,1379270740,Asia,4455,155149,257
5,UK,292950,1541,41481,202,N/A,N/A,N/A,492,4316,611,6434713,94813,67867577,Europe,232,1636,11
6,Spain,290289,502,27136,,N/A,N/A,N/A,617,6209,580,4465338,95507,46753887,Europe,161,1723,10
7,Italy,236305,163,34223,56,173085,1747,28997,227,3908,566,4514441,74661,60466117,Europe,256,1767,13
8,Peru,214788,,6109,,102429,,106250,1065,6519,185,1282478,38927,32946025,South America,153,5393,26
9,Germany,187251,456,8863,12,171600,400,6788,462,2235,106,4694147,56036,83770376,Europe,447,9452,18
10,Iran,182525,2369,8659,75,144649,1986,29217,2739,2175,103,1196947,14261,83933136,Asia,460,9693,70
11,Turkey,175218,1195,4778,15,149102,1242,21338,664,2079,57,2541903,30157,84289552,Asia,481,17641,33
12,Chile,160846,6754,2870,222,131358,4914,26618,1689,8418,150,799776,41857,19107435,South America,119,6658,24
13,France,156287,726,29374,28,72572,423,54341,879,2395,450,1384633,21215,65266270,Europe,418,2222,47
14,Mexico,133974,4790,15944,587,98064,4134,19966,378,1040,124,369362,2866,128859025,North America,962,8082,349
15,Pakistan,125933,6397,2463,107,40247,1856,83223,111,571,11,809169,3667,220638507,Asia,1752,89581,273
16,Saudi Arabia,119942,3921,893,36,81029,1010,38020,1820,3448,26,1042312,29966,34782906,Asia,290,38951,33
17,Canada,97898,368,8048,54,58490,832,31360,1878,2595,213,2028496,53771,37724444,North America,385,4687,19
18,Bangladesh,81523,3471,1095,46,17249,502,63179,1,495,7,473322,2876,164600549,Asia,2019,150320,348
19,Qatar,76588,1517,70,1,53296,1965,23222,229,27277,25,280665,99959,2807805,Asia,37,40112,10
20,South Africa,61927,3359,1354,70,35006,1754,25567,208,1045,23,1060425,17892,59267163,Africa,957,43772,56
21,Belgium,59819,108,9646,10,16498,45,33675,89,5163,832,996785,86026,11587039,Europe,194,1201,12
22,Belarus,52520,704,298,5,27760,1117,24462,92,5558,32,697011,73762,9449475,Europe,180,31710,14
23,Sweden,49684,205,4854,40,N/A,N/A,N/A,272,4921,481,325000,32191,10095978,Europe,203,2080,31
24,Netherlands,48461,210,6053,9,N/A,N/A,N/A,77,2829,353,455067,26561,17132971,Europe,354,2830,38
