#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent
,North America,1723566,12566,104915,779,452250,1166401,18042,,,,,,North America
,Europe,1813790,16262,164689,1070,792821,856280,11292,,,,,,Europe
,South America,472679,11482,24847,732,164010,283822,10582,,,,,,South America
,Asia,840777,21842,25471,360,484182,331124,4939,,,,,,Asia
,Africa,91512,1432,2883,34,35620,53009,284,,,,,,Africa
,Oceania,8675,12,121,1,7956,598,13,,,,,,Australia/Oceania
,,721,,15,,651,55,4,,,,,,
,World,4951720,63596,322941,2976,1937490,2691289,45156,635,41.4,,,,All
1,USA,1558498,8204,92520,539,360058,1105920,16870,4712,280,12431242,37582,330774664,North America
2,Russia,299941,9263,2837,115,76130,220974,2300,2055,19,7352316,50383,145927292,Europe
3,Spain,278188,,27709,,196958,53521,1152,5950,593,3037840,64977,46752703,Europe
4,Brazil,262545,7177,17509,656,100459,144577,8318,1236,82,735224,3462,212380932,South America
5,UK,248818,2412,35341,545,N/A,N/A,1559,3667,521,2772552,40866,67844241,Europe
6,Italy,226699,813,32169,162,129401,65129,716,3749,532,3104524,51338,60471924,Europe
7,France,179927,,28239,,61728,89960,1998,2757,433,1384633,21218,65256826,Europe
8,Germany,177696,407,8161,38,155700,13835,1133,2122,97,3147771,37584,83752855,Europe
9,Turkey,151615,1022,4199,28,112895,34521,882,1800,50,1675517,19892,84230075,Asia
10,Iran,124603,2111,7119,62,97173,20311,2698,1486,85,716176,8540,83862642,Asia
11,India,106446,6118,3301,145,40865,62280,,77,2,2404267,1744,1378381772,Asia
12,Peru,94933,,2789,,30306,61838,866,2884,85,661132,20085,32915899,South America
13,Canada,79070,998,5909,67,39951,33210,502,2097,157,1331173,35307,37702769,North America
14,Saudi Arabia,59854,2509,329,9,31634,27891,237,1723,9,618084,17788,34747330,Asia
15,Belgium,55791,232,9108,28,14687,31996,345,4816,786,709818,61277,11583739,Europe
16,Mexico,51633,2414,5332,155,35388,10913,378,401,41,177133,1376,128770253,North America
17,Chile,49579,3520,509,31,21507,27563,876,2596,27,397200,20799,19096687,South America
18,Netherlands,44249,108,5715,21,N/A,N/A,293,2583,334,302395,17652,17130492,Europe
19,Pakistan,43966,1841,939,36,12489,30538,111,200,4,400292,1817,220356788,Asia
20,Qatar,35606,1637,15,,5634,29957,172,12384,5,166182,57801,2875047,Asia
21,Ecuador,34151,569,2839,40,3457,27855,221,1939,161,98171,5575,17610231,South America
22,Belarus,31508,936,175,4,10620,20713,92,3334,19,375076,39692,9449678,Europe
23,Sweden,30799,422,3743,45,4971,22085,287,3052,371,209900,20799,10091856,Europe
24,Switzerland,30618,21,1891,5,27600,1127,57,3541,219,350099,40487,8647139,Europe
25,Portugal,29432,223,1247,16,6431,21754,101,2885,122,662375,64938,10200063,Europe
26,Singapore,28794,451,22,,10365,18407,10,4926,4,246254,42132,5844888,Asia
27,Bangladesh,25121,1251,370,21,4993,19758,1,153,2,193645,1177,164493041,Asia
