Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop
Montenegro,13,,,,,13,,21
Paraguay,13,,,,,13,1,2
Nigeria,12,,,,1,11,,0.06
Monaco,11,1,,,,11,,280
Channel Islands,11,,,,,11,,63
French Polynesia,11,5,,,,11,,39
Ghana,11,,,,,11,,0.4
Rwanda,11,,,,,11,,0.8
Gibraltar,10,,,,2,8,,297
Guatemala,9,,1,,,8,,0.5
Ivory Coast,9,,,,1,8,,0.3
Ethiopia,9,2,,,,9,,0.08
Togo,9,8,,,,9,,1
Trinidad and Tobago,9,,,,,9,,6
Kenya,7,,,,,7,,0.1
Mauritius,7,,,,,7,,6
Equatorial Guinea,6,,,,,6,,4
Kyrgyzstan,6,3,,,,6,,0.9
Mongolia,6,,,,,6,,2
Puerto Rico,6,,,,,6,,2
Seychelles,6,,,,,6,,61
Tanzania,6,,,,,6,,0.1
Guyana,5,,1,,,4,,6
Aruba,5,,,,1,4,,47
Barbados,5,,,,,5,,17
Mayotte,4,,,,,4,,15
Cayman Islands,3,,1,,,2,,46
Curaao,3,,1,,,2,,18
Bahamas,3,,,,,3,,8
Congo,3,,,,,3,,0.5
Gabon,3,,,,,3,,1
Namibia,3,,,,,3,,1
St. Barth,3,,,,,3,,304
Saint Martin,3,,,,,3,,78
U.S. Virgin Islands,3,,,,,3,,29
Sudan,2,,1,,,1,,0.05
Benin,2,,,,,2,,0.2
Bermuda,2,,,,,2,,32
Bhutan,2,1,,,,2,,3
CAR,2,1,,,,2,,0.4
Greenland,2,,,,,2,,35
Haiti,2,2,,,,2,,0.2
Liberia,2,,,,,2,,0.4
Mauritania,2,,,,,2,,0.4
New Caledonia,2,,,,,2,,7
Saint Lucia,2,,,,,2,,11
Zambia,2,,,,,2,,0.1
Nepal,1,,,,1,0,,0.03
Angola,1,1,,,,1,,0.03
Antigua and Barbuda,1,,,,,1,,10
Cabo Verde,1,1,,,,1,,2
Chad,1,,,,,1,,0.06
Djibouti,1,,,,,1,,1
El Salvador,1,,,,,1,,0.2
Fiji,1,,,,,1,,1
Gambia,1,,,,,1,,0.4
Guinea,1,,,,,1,,0.08
Vatican City,1,,,,,1,,1248
Isle of Man,1,,,,,1,,12
Montserrat,1,,,,,1,,200
Nicaragua,1,,,,,1,,0.2
Niger,1,,,,,1,,0.04
St. Vincent Grenadines,1,,,,,1,,9
Sint Maarten,1,,,,,1,,23
Somalia,1,,,,,1,,0.06
Suriname,1,,,,,1,,2
Eswatini,1,,,,,1,,0.9
