Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,Reported1st case
Cayman Islands,12,,1,,,11,,183,15,Mar 12
Dominica,12,,,,,12,,167,,Mar 21
Equatorial Guinea,12,,,,1,11,,9,,Mar 13
Mongolia,12,,,,2,10,,4,,Mar 09
Curaao,11,,1,,2,8,,67,6,Mar 12
Namibia,11,,,,2,9,,4,,Mar 13
Syria,10,,2,,,8,,0.6,0.1,Mar 21
Greenland,10,,,,2,8,,176,,Mar 15
Seychelles,10,2,,,,10,,102,,Mar 13
Benin,9,3,,,1,8,,0.7,,Mar 15
Grenada,9,,,,,9,,80,,Mar 21
Laos,9,1,,,,9,,1,,Mar 23
Saint Lucia,9,,,,1,8,,49,,Mar 12
Eswatini,9,,,,,9,,8,,Mar 13
Zimbabwe,8,1,1,,,7,,0.5,0.07,Mar 19
Guinea-Bissau,8,,,,,8,,4,,Mar 24
Libya,8,,,,,8,,1,,Mar 23
Mozambique,8,,,,,8,,0.3,,Mar 21
Saint Kitts and Nevis,8,1,,,,8,,150,,Mar 24
Suriname,8,,,,,8,,14,,Mar 12
Angola,7,,2,,1,4,,0.2,0.06,Mar 19
Sudan,7,1,2,,1,4,,0.2,0.05,Mar 12
Antigua and Barbuda,7,,,,,7,,71,,Mar 12
Chad,7,2,,,,7,,0.4,,Mar 18
Cabo Verde,6,,1,,,5,,11,2,Mar 19
Mauritania,6,,1,,2,3,,1,0.2,Mar 12
Vatican City,6,,,,,6,,7491,,Mar 05
St. Barth,6,,,,1,5,,607,,Feb 29
Sint Maarten,6,,,,,6,,140,,Mar 17
Nepal,5,,,,1,4,,0.2,,Jan 23
Fiji,5,,,,,5,,6,,Mar 18
Montserrat,5,,,,,5,,1002,,Mar 17
Somalia,5,2,,,1,4,,0.3,,Mar 15
Turks and Caicos,5,,,,,5,,129,,Mar 22
Gambia,4,,1,,,3,,2,0.4,Mar 16
Nicaragua,4,,1,,,3,,0.6,0.2,Mar 18
Bhutan,4,,,,,4,,5,,Mar 05
Belize,3,,,,,3,,8,,Mar 22
Botswana,3,,,,,3,,1,,Mar 29
British Virgin Islands,3,1,,,,3,,99,,Mar 24
CAR,3,,,,,3,,0.6,,Mar 14
Liberia,3,,,,,3,,0.6,,Mar 15
MS Zaandam,2,,,,,2,,,,Mar 26
Anguilla,2,,,,,2,,133,,Mar 25
Burundi,2,2,,,,2,,0.2,,Mar 30
Papua New Guinea,1,,,,,1,,0.1,,Mar 19
St. Vincent Grenadines,1,,,,1,0,,9,,Mar 10
Sierra Leone,1,1,,,,1,,0.1,,Mar 30
Timor-Leste,1,,,,,1,,0.8,,Mar 20
China,81518,79,3305,5,76052,2161,528,57,2,Jan 10
