#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,5973052,60438,230866,1829,3169564,22009,2572622,25679,,,,,,North America,,,
,South America,4592720,49748,155949,1137,3122064,6526,1314707,14296,,,,,,South America,,,
,Asia,4861217,87000,106682,1428,3660696,73569,1093839,18752,,,,,,Asia,,,
,Europe,3007839,22547,205606,383,1804690,11539,997543,5160,,,,,,Europe,,,
,Africa,1024474,12602,22532,418,707255,13635,294687,1199,,,,,,Africa,,,
,Oceania,22142,435,292,11,12826,35,9024,51,,,,,,Australia/Oceania,,,
,,721,,15,,651,,55,4,,,,,,,,,
,World,19482165,232770,721942,5206,12477746,127313,6282477,65141,2499,92.6,,,,All,,,
1,USA,5081323,49144,163704,900,2591982,15314,2325637,18266,15342,494,63744802,192467,331198130,North America,65,2023,5
2,Brazil,2962442,44880,99572,928,2047660,,815210,8318,13927,468,13206188,62085,212710692,South America,72,2136,16
3,India,2086864,61455,42578,940,1427669,50285,616617,8944,1511,31,22788393,16497,1381344997,Asia,662,32443,61
4,Russia,877135,5241,14725,119,683592,7235,178818,2300,6010,101,30038123,205824,145940924,Europe,166,9911,5
5,South Africa,545476,7292,9909,305,394759,7443,140808,539,9186,167,3183658,53614,59381566,Africa,109,5993,19
6,Mexico,462690,6590,50517,819,308848,4140,103325,3987,3585,391,1056915,8189,129066160,North America,279,2555,122
7,Peru,455409,,20424,,310337,,124648,1426,13793,619,2493429,75521,33016319,South America,72,1617,13
8,Chile,368825,2154,9958,69,342168,2000,16699,1348,19277,520,1785858,93342,19132514,South America,52,1921,11
9,Spain,361442,4507,28503,3,N/A,N/A,N/A,617,7730,610,7064329,151087,46756648,Europe,129,1640,7
10,Colombia,357710,,11939,,192355,,153416,1493,7023,234,1801835,35374,50936262,South America,142,4266,28
11,Iran,322567,2450,18132,156,279724,2261,24711,4136,3836,216,2637575,31363,84097623,Asia,261,4638,32
12,UK,309005,871,46511,98,N/A,N/A,N/A,69,4549,685,17801559,262088,67922029,Europe,220,1460,4
13,Saudi Arabia,285793,1567,3093,38,248948,1859,33752,1892,8197,89,3694004,105949,34865919,Asia,122,11273,9
14,Pakistan,282645,782,6052,17,258099,2041,18494,826,1277,27,2079333,9396,221295851,Asia,783,36566,106
15,Bangladesh,252502,2851,3333,27,145584,1760,103585,,1532,20,1237823,7509,164851401,Asia,653,49460,133
16,Italy,249756,552,35190,3,201642,319,12924,42,4131,582,7158909,118422,60452568,Europe,242,1718,8
17,Turkey,238450,1185,5813,15,221574,1028,11063,586,2824,69,5138528,60863,84428331,Asia,354,14524,16
18,Argentina,228195,,4291,40,103297,3445,120607,1150,5044,95,812564,17962,45236884,South America,198,10542,56
19,Germany,216315,1105,9254,2,196200,,10861,236,2581,110,8586648,102452,83811260,Europe,387,9057,10
20,France,197921,2288,30324,12,82836,376,84761,383,3031,464,4088986,62630,65288306,Europe,330,2153,16
21,Iraq,144064,3461,5236,75,103197,2172,35631,566,3574,130,1110258,27546,40306025,Asia,280,7698,36
22,Philippines,122754,3379,2168,24,66852,73,53734,239,1119,20,1703805,15528,109722719,Asia,894,50610,64
23,Indonesia,121226,2473,5593,72,77557,1912,38076,,443,20,1663315,6075,273808365,Asia,2259,48956,165
24,Canada,118757,196,8966,,103222,116,6569,2263,3144,237,4319172,114339,37775022,North America,318,4213,9
25,Qatar,112383,291,180,2,109142,311,3061,82,40025,64,513930,183036,2807805,Asia,25,15599,5
26,Kazakhstan,96922,980,1058,,70680,1809,25184,221,5156,56,2183308,116142,18798667,Asia,194,17768,9
27,Egypt,95147,141,4971,20,50553,1655,39623,41,928,48,135000,1317,102516525,Africa,1077,20623,759
28,Ecuador,91969,1432,5897,20,71463,145,14609,365,5205,334,261829,14819,17668824,South America,192,2996,67
29,Bolivia,86423,1282,3465,80,27373,936,55585,71,7394,296,183583,15706,11688459,South America,135,3373,64
30,Sweden,82323,41,5763,5,N/A,N/A,N/A,34,8146,570,863315,85429,10105596,Europe,123,1754,12
31,Oman,81067,354,502,10,72263,1353,8302,172,15838,98,309212,60411,5118446,Asia,63,10196,17
32,Israel,80991,1432,581,5,55313,1886,25097,369,8806,63,1872453,203581,9197590,Asia,114,15831,5
33,Ukraine,78261,1453,1852,33,43055,531,33354,143,1791,42,1135051,25970,43705858,Europe,558,23599,39
34,Dominican Republic,77709,1173,1259,13,41393,854,35057,317,7156,116,281926,25963,10858648,North America,140,8625,39
35,Belgium,72016,858,9861,2,17700,39,44455,65,6211,850,1791554,154514,11594739,Europe,161,1176,6
36,Panama,71418,,1574,,45658,,24186,161,16527,364,240995,55769,4321282,North America,61,2745,18
37,Kuwait,70727,682,471,2,62330,720,7926,124,16538,110,526286,123060,4276658,Asia,60,9080,8
38,Belarus,68614,111,583,3,64200,444,3831,,7262,62,1353657,143259,9449001,Europe,138,16208,7
39,UAE,62061,216,356,2,56015,276,5690,,6267,36,5375365,542852,9902079,Asia,160,27815,2
40,Romania,59273,1378,2616,50,29289,297,27368,446,3083,136,1343315,69877,19224023,Europe,324,7349,14
41,Netherlands,57501,519,6154,1,N/A,N/A,N/A,38,3355,359,1079860,63007,17138756,Europe,298,2785,16
42,Guatemala,55270,931,2168,49,43135,1065,9967,5,3080,121,176400,9829,17946899,North America,325,8278,102
43,Singapore,54797,242,27,,48312,281,6458,,9359,5,1474372,251817,5854932,Asia,107,216849,4
44,Portugal,52351,290,1746,3,38087,247,12518,36,5136,171,1705474,167308,10193593,Europe,195,5838,6
45,Poland,50324,809,1787,13,36041,399,12496,73,1330,47,2436012,64373,37842302,Europe,752,21176,16
46,Honduras,45755,657,1446,23,6225,109,38084,45,4613,146,112370,11328,9919704,North America,217,6860,88
47,Nigeria,45244,,930,,32430,,11884,7,219,5,310729,1504,206606300,Africa,4566,222157,665
48,Bahrain,42889,,159,3,39945,,2785,39,25130,93,876700,513691,1706669,Asia,40,10734,2
49,Japan,42263,,1026,,28877,,12360,115,334,8,938739,7425,126435859,Asia,2992,123232,135
50,Ghana,40097,455,206,7,36638,254,3253,7,1288,7,409373,13149,31133483,Africa,776,151133,76
51,Armenia,39985,166,777,5,32008,452,7200,,13491,262,172994,58369,2963811,Asia,74,3814,17
52,Kyrgyzstan,39162,503,1451,4,30764,665,6947,24,5993,222,267718,40970,6534479,Asia,167,4503,24
53,Afghanistan,37015,119,1307,9,25903,63,9805,31,949,34,92585,2373,39009447,Asia,1054,29847,421
54,Switzerland,36269,161,1986,1,31600,,2683,21,4188,229,829158,95735,8660952,Europe,239,4361,10
55,Algeria,34155,529,1282,9,23667,429,9206,57,778,29,,,43926079,Africa,1286,34264,
56,Azerbaijan,33376,129,483,4,29696,421,3197,,3289,48,773051,76176,10148243,Asia,304,21011,13
57,Morocco,30662,1018,461,12,21548,995,8653,31,830,12,1405159,38025,36953359,Africa,1205,80159,26
58,Uzbekistan,29057,742,181,6,20059,768,8817,228,867,5,1377915,41112,33516027,Asia,1153,185171,24
59,Serbia,27608,276,626,5,14047,,12935,118,3161,72,733059,83935,8733665,Europe,316,13952,12
60,Moldova,26990,362,835,7,18918,242,7237,362,6692,207,128076,31757,4032983,Europe,149,4830,31
61,Ireland,26470,98,1772,4,23364,,1334,5,5355,358,652917,132084,4943200,Europe,187,2790,8
62,Kenya,25138,727,413,14,11118,674,13607,44,467,8,335318,6223,53881160,Africa,2143,130463,161
63,Venezuela,23280,,202,,12470,,10608,66,819,7,1573859,55364,28427499,South America,1221,140730,18
64,Nepal,22214,464,70,5,15814,425,6330,,761,2,739903,25351,29186486,Asia,1314,416950,39
65,Costa Rica,22081,1011,218,18,7261,223,14602,103,4331,43,100050,19623,5098730,North America,231,23389,51
66,Austria,21837,141,720,1,19690,94,1427,25,2423,80,947305,105121,9011577,Europe,413,12516,10
67,Ethiopia,21452,552,380,15,9415,388,11657,185,186,3,478017,4149,115223736,Africa,5371,303220,241
68,Australia,20272,410,266,11,11147,35,8859,51,794,10,4713854,184648,25528864,Australia/Oceania,1259,95973,5
69,El Salvador,19544,418,520,7,9379,143,9645,514,3012,80,256176,39475,6489514,North America,332,12480,25
